語詞,解釋
靜靜的,沉靜的、安靜的。如：「他靜靜的站著，半天也不說一句話。」
天空,泛指日月星辰所在的廣大空間。[例]蔚藍的天空飄著朵朵的白雲，好一幅美麗的景象。
白雲,白色的雲。[例]天上飄著朵朵白雲。
花草,1.花與草的合稱。《齊民要術．自序》：「花草之流，可以悅目。」唐．李白〈登金陵鳳凰臺〉詩：「吳宮花草埋幽徑，晉代衣冠成古丘。」《西遊記》第二回：「那崖下石坎邊，花草中，樹木裡，若大若小之猴，跳出千千萬萬，把個美猴王圍在當中。」
花園,種有花木的園圃。[例]經過一夜的狂風驟雨，花園裡花朵落了滿地。
沒有,1.表示具有或存在的否定。[例]沒有入場券不能進場參觀。
輕快,1.輕鬆愉快。[例]這首舞曲節奏輕快，令人不自禁的手舞足蹈起來。
新芽,新長出的嫩芽。亦比喻新出現的人才。[例]春天來臨，許多植物開始抽新芽了。
身上,1.身體。《紅樓夢》第五七回：「姑娘身上又病著，更費了大事，誤了你老出門。」《文明小史》第一六回：「身上一件打補釘的竹布長衫，腳上穿著黑襪，趿了一雙破鞋。」
媽媽,稱謂：對母親的稱呼。[例]遠行前夕，媽媽再三叮嚀：一定要好好照顧自己。
音樂會,在公開場合演奏樂器或演唱等有關音樂活動的聚會。
開始,1.從頭起、從某一點起。[例]公司的營運才剛開始，往後還需要全體同仁共同努力！
一陣,一段時間的連續動作或狀況。[例]夏天的午後下了一陣大雨，頓時感覺清涼。
過後,以後、往後。《紅樓夢》第六二回：「我雖有幾條新裙子，都不和這一樣的。若有一樣的，趕著換了，也就好了，過後再說。」《初刻拍案驚奇》卷三：「那劉東山一生英雄，遇此一番，過後再不敢說一句武藝上頭的話，棄弓折箭，只是守著本分營生度日。」
好吃,美味可口。[例]遍嚐天下美食，他還是覺得家鄉菜最好吃。 / 愛吃、嘴饞。[例]小孩子因好吃糖果而弄得滿嘴蛀牙。
上桌,1.把食物端上桌子。[例]菜已經上桌了，快趁熱吃吧！
回家,返家。[例]小朋友放學後應該馬上回家，以免家人擔心。
爸爸,稱謂：對父親的稱呼。[例]爸爸教我們：跌倒了就要勇敢地爬起來。
見聞,眼睛所看見、耳朵所聽到的事物。[例]他把這次旅遊的見聞寫下，在報紙上發表。
港口,在河、海岸邊設置碼頭，便於船隻停泊、乘客上下和貨物裝卸的地方。[例]這個港口的設備十分現代化。
享受,享有、受用。[例]年紀大的長輩，最需要子女適度地關懷，最欣慰的則是享受天倫之樂。
溫暖,1.暖和。[例]春天來臨，氣候已漸漸溫暖了。
種子,植物的雌蕊經過受精後，子房內的胚珠發育成熟的部分。主要由種皮、胚、胚乳三部分組成。[例]我把花的種子埋在泥土裡，並按時澆水，希望它能趕快發芽。
怎麼,1.為什麼。[例]他怎麼還不回來？真急死人了！
需要,應該要有的或必須要有的。[例]出門在外，最需要朋友的幫助。
於是,因此，因而。表承上啟下的連詞。[例]因為晚上停電，家裡於是點起蠟燭照明。
澆水,以水灌溉。[例]這些花需要每天澆水，才不致於枯死。
陽光,太陽的光線。[例]陽光充足、陽光燦爛
院子,庭院。[例]夏夜時，我們全家人喜歡在院子裡乘涼、聊天。
外公,稱謂。對媽媽的父親的稱呼，今亦稱「阿公」。[例]外公從小就教導我們要正正當當的做人。　△外祖父
說話,1.發言、講話。[例]她說話時總是輕聲細語，非常溫柔。
陪伴,相陪作伴。[例]當我生病時，母親都一直陪伴在我身旁。
奶奶,1.稱謂：(1) 對祖母的稱呼。[例]奶奶年紀雖然大，但是她目前在國中補校進修，求上進的心不輸年輕人。　(2) 對老婦人的敬稱。[例]李奶奶　(3) 對女主人的尊稱。[例]少奶奶
跟班,隨從、貼身僕從。[例]每次媽媽逛百貨公司時，姊姊就成了義務跟班。
起床,離開床鋪。一般指睡醒後下床。[例]趕快起床，否則上學又要遲到了！
弟弟,稱謂。稱同胞手足中，後出生的男性親屬。[例]媽媽一向主張哥哥和弟弟應該平均分擔家務。　◎
家家酒,小孩子模仿、扮演家庭事務的遊戲。[例]小孩子們玩家家酒時，學大人的模樣真是可愛。
卡片,1.內含文字、圖畫，用來贈送或邀約他人的硬紙片。如賀年卡、生日卡、邀請卡等。[例]母親節，他準備自製卡片送給母親，以表孝心。
喜歡,1.快樂、高興。[例]媽媽收到弟弟親手畫的卡片，很是喜歡。
作夢,1.睡時依身體內外的刺激而起幻象。
自己,本身。[例]他常自己一個人在房裡聽音樂。
變成,由某一種形態轉換成另一種形態。[例]深秋時節，楓葉變成了紅色。
棉花糖,先將砂糖加熱成漿，再用機器將其快速轉動，拉成糖絲，纏繞在竹棒上的零嘴，外觀像似一團棉絮，故稱為「棉花糖」。[例]舔棉花糖是許多人童年的美好回憶。
天鵝,動物名。鳥綱雁鴨目雁鴨科。形似鵝，體大頸長，上嘴有黃色的瘤，全身純白或黑。分布於寒帶，棲於水濱，善飛，吃植物、昆蟲等。[例]白色天鵝在湖上悠閒的划水，景致十分恬靜。　◎
漂亮,1.美麗、好看。[例]她真是一位人見人愛的漂亮姑娘。
妹妹,稱謂：(1) 稱同父母所生而比自己年幼的女性。[例]他在家排行老大，下面還有兩個妹妹。　(2) 稱同輩親屬中比自己年幼的女性。[例]我的好妹妹！你別生氣了，是我不對！
雨鞋,用來防止雨水浸溼足部所穿的鞋子。
一雙,1.成對的器物，一對稱為「一雙」。如：「一雙筷子」、「一雙球鞋」。《戰國策．燕策》：「臣請獻白璧一雙、黃金千鎰，以為馬食。」《紅樓夢》第三回：「一雙丹鳳三角眼，兩彎柳葉弔梢眉。」
遊戲,1.玩耍。[例]公園裡有一群小孩在遊戲。
珍珠,1.蚌內因異物侵入或病理變化而產生的圓形顆粒。有光澤，呈白色或微黃色。一般分為天然養珠及人工養珠兩種。[例]珍珠項鍊　△真珠
落下,剩下、留下。[例]他一生無惡不做，死後只落下一片罵名。 / 降落、掉落。[例]豆大的雨滴自天空紛紛落下，路上的行人不禁加快了腳步。
水面,水的表面。[例]船身過處，在平靜的水面激起水花。　△水皮兒
魚缸,養魚的容器。[例]他定期清洗魚缸，讓金魚有良好的生活環境。
金魚,動物名。硬骨魚綱鯉目鯉科。為鯽魚的變種，由鯽魚經不斷的人工選種、配種與淘汰而成。體形略呈圓球狀，凸眼，鱗片有金光，顏色鮮豔，鰭大，尾作三分或四分，可供觀賞。[例]爸爸在春節前特地買了一對金魚養在水箱中，以添增過年的喜氣。　△文魚　◎
太陽,天體恆星之一，半徑約為70萬公里，距地球約1億4960萬公里。有巨大的熱能輻射，表面溫度約為攝氏6000度，中心溫度在攝氏1000萬度以上。地球等太陽系八大行星即以它為中心作公轉。　◎
國王,君主制國家的最高領袖。[例]今天有一些國家的最高領導者仍是國王，像中東的約旦、和鄰近的泰國。
大掃除,大規模或大範圍的打掃環境。[例]年終大掃除、歲末大掃除
洗淨,清洗乾淨。[例]她用水將碗盤洗淨。
馬路,寬闊平坦可行車馬的道路。現在泛指供人、車行走的道路。[例]馬路如虎口，行人要小心。
高高低低,有高有低、起伏不定。[例]會場裡擺滿了高高低低的花卉盆栽，十分引人注目。
葉子,植物的葉的通稱。[例]在中國大陸北方，許多植物一到秋天，葉子便開始凋落。
認真,1.切實負責而不馬虎隨便。[例]要有好的表現，必須努力用功，認真學習。
草地,長滿青草的地方。如：「小狗在草地上打滾。」《宋史．卷八．真宗本紀三》：「丙子，詔京城禁圍草地，聽民耕牧。」《二刻拍案驚奇》卷二：「他在田畔拾棗，遇著兩個道士打扮的在草地上對坐安枰下棋，他在旁邊蹾著觀看。」
變化,事物的性質或形態有所改變。[例]變化無窮、化學變化
有趣,有趣味。[例]每天小玲都會將學校有趣的事，一一說給爸媽聽。
長線,1.長的線。如：「放長線釣大魚」。
風箏,一種玩具。通常以竹片為骨架，糊以紙、布等，用長線繫綁，可乘風飛升。[例]王伯伯不但是放風箏的高手，更是製作風箏的巧匠。
升高,提高、提升。[例]連日來的大雨使水庫的水位升高，解除了旱象。
神奇,神妙奇特，不可思議。[例]化腐朽為神奇。
跑跑跳跳,連跑帶跳。形容活潑健康或動作敏捷。如：「課外活動時間，小學生在操場上跑跑跳跳，十分可愛。」「已經是上了年紀的人了，還這樣跑跑跳跳的，小心別摔著了。」
說說笑笑,又說又笑、有說有笑。《初刻拍案驚奇》卷一七：「兩人做一路，說說笑笑去了。」《儒林外史》第五二回：「鳳四老爹同秦二侉子說說笑笑，不日到了南京，各自回家。」
事情,事物的實際情形，包括人類一切行為及自然界所有的現象或活動。[例]只要是正當的事情，都可以大膽去做。
生日,誕生之日。[例]為了慶祝生日，他請了許多同學來參加派對。
今天,1.說話時的當天。[例]今天我們要到育幼院當義工。
記得,存留在腦海中不忘掉。[例]雖然事過多年，但我仍然記得當時的一切景象。
知道,明白、瞭解。[例]這件事大家都已經知道了。
放學,學校結束一日課程後，放學生回家。[例]小英放學後會幫媽媽做家事。
祝福,原指求神賜福，後用於泛指祝人平安、幸福。[例]他對即將遠行的好友致上深深的祝福。
第一次,首次。如：「這是他第一次上臺演講。」
謝謝,表示感激、謝意。《紅樓夢》第六七回：「寶姐姐送咱們東西，咱們原該謝謝去。」《老殘遊記》第六回：「請你們老爺自用罷。我這裡已經叫他們去做飯，一會兒就來了。說我謝謝罷。」
路燈,設在道路旁的燈，以供夜間照明之用。[例]巷口的路燈，給晚歸的人帶來許多便利。
前面,前方。[例]前面不遠有家商店，我們就在那兒稍做休息吧！
一點,1.形容極小或些許。[例]喝咖啡時，我喜歡加一點奶精。
一半,二分之一。[例]她把一半獎金捐給育幼院，幫助孤苦無依的兒童。
清楚,清晰明白。[例]對於童年往事，他依然記得非常清楚。
休息,暫時停止工作或活動。常帶有放鬆身心，以待復原的意思。[例]他今天因病請假，在家休息。
一會兒,片刻，短暫時間。[例]我猶豫了一會兒，才答應他的請求。
加油,1.添加油料。[例]機車油箱裡的汽油快用完了，得先去加油才能繼續上路。
學年,學校中所規定的修業年度。我國以每年的八月一日為學年開始，到翌年的七月三十一日為學年結束，一學年分為上下兩學期。
希望,1.心中有所期盼。[例]父母總是希望自己的小孩將來能有所成就。
位子,座位。[例]搭車時，我總是選擇靠窗的位子。
課本,教科書。[例]老師要同學打開課本，準備上課。
淡淡,1.味道清淺。[例]這株蘭花散發出淡淡的清香。
書香,讀書的風氣與傳統。多指家世、門風而言。[例]書香世家
老師,對傳授學問或技藝者的尊稱。[例]對於老師的諄諄教誨，同學們應謹記在心。
以前,1.從前。[例]以前這裡是一片荒蕪，沒想到三十年後卻發展成本市最繁榮的地區了。
大聲,聲音宏大、響亮。[例]大聲喧嘩、大聲嚷嚷、大聲喝采
成為,變成。[例]他靠自己的努力成為事業有成的企業家，可說是白手成家的典範。
故事,傳說或杜撰的事物。[例]小朋友團團圍住老師，要求再說一個故事。
用力,使勁出力。[例]這櫃子太重了，要大家一起用力才能抬起來。
現在,現今、眼前。[例]現在外面正下著大雨，沒事就不要出去了。
早餐,早晨的餐點。[例]父母親每天很早就起床為全家人準備早餐。
全家,一家人。[例]春節期間，我們全家打算出國旅遊。
番茄,植物名。一年生草本。莖略呈蔓生狀態，高約一公尺，葉互生，羽狀複葉。夏季開黃色花朵。果實亦稱為「番茄」，呈扁圓形或小球形，為紅色或黃綠色漿果，可供食用或製成果汁。　◎◎
輪子,車輪，俗稱為「輪子」。[例]這輛車子的輪子陷到爛泥裡，動彈不得。
起司,一種從動物乳汁中凝聚出來的食品。§英cheese　△乳酪
吐司,烤過的麵包片。亦指長條形可以切片的麵包。§英toast [例]吐司夾火腿　△土司
四四方方,形體方正的樣子。[例]這棟新屋的格局四四方方的，買主感到很滿意。
城堡,城池堡壘。[例]歐洲有許多古代留下來的城堡，值得我們一遊！　◎
接著,1.接住。如：「小心接著，別弄壞了！」《鏡花緣》第三十五回：「宮娥拾過，又斟一杯。林之洋接著，心中更覺發慌，登時又把酒灑了。」
番茄醬,用番茄汁加其他材料作成，可沾麵包或烤肉的一種調味醬。
笑臉,含笑的面孔。[例]笑臉相迎、笑臉迎人
叔叔,稱謂：(1) 稱父親的弟弟。[例]爸爸與叔叔年齡相近，從小就比較親熱。　(2) 泛稱與父親同輩，年紀較小的男子。[例]陳叔叔和爸爸是好朋友。
捧花,捧在手中的花束，通常指婚禮專供新娘捧托的花束。[例]這束捧花主要是由紫玫瑰和滿天星搭配而成。
蝴蝶,動物名。昆蟲綱鱗翅目。頭上有對複眼，二隻單眼，複眼間細長的觸角專司感覺。頭下方的口器，呈曲管狀，可伸長吸食花蜜。腹部有氣孔，供呼吸用。胸部生有三對步行腳，兩對翅膀。生長週期分為卵、幼蟲（毛蟲）、蛹及成蟲四個階段。種類繁多，分布世界各地。[例]蝴蝶有一對美麗的翅膀，是大自然界最美麗的昆蟲。　△蚨（ㄈㄨˊ）蝶、胡蝶　◎
新娘,稱剛結婚或正要舉行結婚典禮的女子。[例]那披上白紗的新娘，臉上泛著喜悅的光彩。
彩筆,畫筆。[例]這個畫家彩筆一揮，便是一幅好山好水。
打扮,1.妝飾儀容。[例]今晚的宴會，她打扮得很得體。
模樣,1.形狀、式樣。[例]錦盒裡的首飾，不知道是什麼模樣？
美麗,漂亮、美好；使人看了心生喜悅的。[例]多數人對未來總是充滿著美麗的憧憬。
運動會,體育運動競賽的集會。[例]奧林匹克運動會
熱鬧,1.場面熱烈人潮擁擠。[例]這夜市整晚人潮不斷，熱鬧得很！
大會舞,運動會的一項表演節目。通常是由一群經過舞蹈訓練的人，從事舞蹈表演。[例]這次運動會的大會舞，是由蝴蝶舞蹈社負責設計籌劃的。
笑容,含笑的面容。[例]笑容滿面、面帶笑容
跑步,兩腳加快速度前進。[例]他每天早上六點一定在公園跑步。
比賽,1.比較本領、技能的高低或優劣。[例]他正和同學在比賽下圍棋。
汗水,通常指流量較多的汗液。如：「雖然汗水溼透了我們的衣服，但大家仍努力工作，毫不懈怠。」
協力,共同努力。[例]這件工程在眾人齊心協力之下，終於如期完工了。
拔河,一種比賽力氣大小的運動。參賽者分成兩隊，各持繩索的一端，同時用力向後拉，以能將繩上的標識拉過一定界限者為優勝。古代的拔河方式，是兩隊隔河而拔，輸方會掉到水裡。[例]拔河比賽最能展現團隊精神。
力氣,力量。[例]他使盡了所有的力氣，還是沒辦法把瓶蓋扭開。
最後,時間或次序上居於末了的位置。[例]他由於工作忙碌，常常搭當天最後一班公車回家。
家鄉,故鄉。[例]他打算畢業後回到家鄉任教。
越南,國名。位於東南亞，中南半島東南部。參見「越南社會主義共和國」條。
暑假,學校的常態期末假期，通常夏天在七、八兩月間實施。[例]今年暑假，他報名參加許多夏令營活動。
碗公,比一般飯碗大的碗。如：「他食量驚人，一餐吃好幾碗公飯。」
划船,1.划槳使船行動。宋．孟元老《東京夢華錄．卷七．駕幸臨水殿觀爭標賜宴》：「小船子上有一白衣垂釣，後有小童舉棹划船。」《醒世姻緣傳》第八七回：「郭總兵的管家卜向禮遠遠的朝見伊留雷划船趕來，走出船頭上等著。」
轉動,1.旋轉扭動物體。[例]轉動門把、轉動開關
一邊,1.事物的某一面。[例]這個梨子已經爛了一邊。
叫好,對於精彩的表演大聲喝采、喊「好」，表示讚賞。[例]他的口技表演真是唯妙唯肖，在場的觀眾莫不大聲叫好。
原本,1.原來、本來。[例]這本書原本是我的，後來轉贈給他。
近海,臨近陸地的海域。[例]他在近海處開發漁業養殖場，專門養殖高經濟的魚、貝類。
捕魚,捕捉魚類。《大宋宣和遺事．元集》：「在路上撞著杜千、張岑兩個，是舊時知識，在河次捕魚為生。」《西遊記》第一回：「持篙試水，偶得淺水，棄了筏子，跳上岸來，只見海邊有人捕魚、打鴈、穵蛤、淘鹽。」
活動,1.運動。[例]他每天早晨都會到公園裡活動筋骨。
認識,1.相識。[例]她倆在學生時代就認識，至今已有十年了。
因此,連接詞。因而、所以。表示事情的結果。[例]這次學期考試我得了第二名，因此爸爸決定送我一份獎品。
走進,步行進入。[例]上課鐘一響，老師就走進教室，開始上課。
金黃色,有黃金般色澤的顏色。[例]果園裡結滿了金黃色的橘子。
可愛,討人喜愛。[例]他自小就聰明活潑，十分可愛。
風乾,具有水分的物品，被風吹乾。[例]新鮮鳳梨去皮切片風乾後，即成滋味絕美的果乾。
遊客,前往遊覽的人。[例]陽明山花季期間，每天都是遊客如織。
親朋好友,泛指所有的親戚、朋友。[例]本店開張之日，希望各位親朋好友都能光臨指教。
如意,1.稱心、符合心中的意願。[例]稱心如意、萬事如意、吉祥如意
衣裳,衣服。[例]妹妹穿了新衣裳，高高興興的去參加阿姨的婚禮。
簡單,1.簡易單純，不複雜。[例]面對記者的追問，他只簡單回覆，不願多說。
聰明,1.眼力和耳力敏捷。[例]那位老婆婆雖然年紀很大了，但仍耳目聰明，行動靈活，非常健康。
大臣,擔負國家重任的官吏。[例]朝廷大臣、文武大臣、執政大臣
不敢,1.沒有勇氣、沒有膽量。[例]他一直站在門外，不敢進來。
東西,1.東方與西方。[例]東西文化交流 / 物品。[例]我習慣睡前把明天要用的各項東西先準備好，以免到時手忙腳亂。
慌張,慌忙緊張的樣子。[例]他頭腦不夠冷靜，一旦遇到緊急事故，便慌張得不知所措。
一直,1.正朝著某方向。[例]往前一直走，就可以到達你要去的地方。
大街,城鎮中路面較寬敞，且較為熱鬧繁華的街道。[例]這條大街商店林立，貨品種類繁多，購物非常方便。
滿街,整條街。《老殘遊記》第二回：「次日清晨起來，喫點兒點心，便搖著串鈴滿街踅了一趟，虛應一應故事。」
左思右想,反覆的想了又想。[例]面對他人的惡意中傷，他左思右想，卻始終想不出曾經得罪過誰？
口渴,口乾想喝水。[例]在大太陽底下走了一天的路，他感到非常口渴。
烏鴉,動物名。脊椎動物鳥綱雀形目鴉科。體長尺餘，嘴大且直。全身黑色，帶有綠色光澤。趾具鉤爪，警覺性高，以穀物、果實、昆蟲、動物腐屍為食物。多棲息於城市近郊或山區高樹。[例]一般人認為烏鴉飛臨屋頂鳴叫是不吉祥的預兆。　◎
瓶子,口小、頸窄、腹大的容器。一般以瓷土、玻璃、塑料等製成，多用以盛裝液體。[例]這瓶子上的花鳥彩繪很細緻。
方法,為達到某種目的所用的方式和步驟。[例]早睡早起是保持身體健康的好方法。
森林,樹木密生的寬廣地區。[例]森林兼具木材供應、水土保持、觀光休憩等功能，是重要的天然資源之一。
動物,相對於植物的另一大類生物。多可自行攝食有機物以維生，有神經、感覺，並具運動能力。生存範圍遍及世界各處。[例]動物的細胞沒有細胞壁，是與植物最大不同之處。
旅行,出外旅遊。[例]旅行不但可以調劑身心，還能增廣見聞。
中午,白天十二點左右的時間。[例]這所小學的全體師生每天中午都在校中共進營養午餐。
許多,很多。[例]人生的路途上有許多困難，我們要勇於克服。
石頭,由礦物質集合而成的堅硬塊狀物質。[例]這條健康步道是用許多卵形小石頭鋪成的。
難道,加強反問語氣的副詞，即莫非的意思。[例]我分析了這麼多的道理，難道你一句都沒有聽進去嗎？
但是,不過、可是。[例]這花很美，但是花期太短了。
大象,1.→象
曹操,人名。（西元155～220）字孟德，小字阿瞞，東漢沛國譙（今安徽省亳縣）人。有雄才，多權詐，能文學。起兵擊黃巾，討董卓，漸次剪削諸雄，自為丞相，拜大將軍，爵魏公，旋進爵魏王，加九錫。後卒於洛陽，子丕篡漢。追諡武帝，廟號太祖。
粗大,又粗又大。[例]臉上皮膚的油脂分泌過多容易造成毛細孔粗大。
柱子,1.建築物中，支撐橫梁、桁架、樓板等的直立長條形構件。可用鋼筋混凝土、鋼材、磚石或木材等製成。[例]柱子是支撐屋頂重量的主要架構。
部分,全體中的局部、某些個體。[例]訂約時只需付部分貨款就可以了。
搖頭,頭向左右搖動。通常用以表示拒絕、否定、阻止或不以為然的意思。[例]老爸看了她的成績單後直搖頭嘆氣。
首先,最先、最初。[例]會議一開始，首先由主席致辭。
下沉,往下陷落。[例]這艘船的船底破了一個大洞，水不斷湧入，船身逐漸下沉。
多少,1.若干。指數量。[例]老師請班長調查有多少學生要參加畢業旅行。
然後,表示接某種動作或情況之後。[例]事先研究一下，然後再考慮怎麼去做。
年紀,年齡。[例]他的年紀雖輕，做起事來倒是相當練達。
竟然,居然。表示出乎意料之外。[例]他竟然說出這種使母親傷心的話，真是太不孝了。
雪梨,1.植物名。薔薇科梨屬。「白梨」品種之一，樹高六至十二公尺，葉長橢圓形，鋸齒緣。果也稱為「雪梨」，球形，因肉質細嫩，色白如雪而得名。
冬天,一年中氣候最寒冷的一季。我國冬天約當農曆十月至十二月。[例]他們決定今年冬天到北歐賞雪。
臺灣,1.指臺灣本島，簡稱「臺」。地理位置於亞洲東南部，東濱太平洋，北臨東海，東北與琉球群島隔海相望，南隔巴士海峽與菲律賓相望，西以臺灣海峽與大陸地區福建省相望。
季節,一年中，因氣候或活動取向具有某種特徵而區分出來的時段。[例]梅雨季節、農忙季節
相反,彼此互為反面。[例]她們二人的意見常常相反，因此很難相互協調。
煙火,1.煮飯的炊煙和柴火。[例]她看起來超凡脫俗，像是不食人間煙火的仙子。
等待,等候。[例]天未亮，許多遊客便已爬上山頂等待觀看日出。
綻放,開放。[例]春天一到，百花綻放，景色十分迷人。
雖然,縱然、即使。[例]雖然這件工作很辛苦，但對年輕人來說是一個很好的磨鍊。
春節,我國傳統節日之一。指農曆正月初一。[例]春節是遊子返鄉與家人團聚的時刻。
年貨,過年時所用的一切物品。[例]快過年了，大家都忙著採購年貨。
期待,期望等待。[例]這名新秀深具潛力，備受期待。
年夜飯,除夕夜家人團聚所吃的餐宴。[例]一家大小圍著圓桌，吃年夜飯，享天倫樂，溫馨無比。
面具,1.遮護臉部或用來偽裝的面罩。[例]這一隊訓練精良的特戰部隊隊員，個個戴著防毒面具執行此次任務。
舞者,跳舞的人。[例]只見會場中，歌聲曼妙，舞者婆娑。
海洋,地球表面除陸地外的廣大鹹水水域。包括太平洋、大西洋、印度洋、地中海、北極海等，約占地球表面的百分之七十一。[例]海洋汙染日益嚴重，對海中生物的生存造成莫大的威脅。
寒冷,氣候非常的冷。[例]今年的冬天特別寒冷。
北方,北邊、北面。與「南方」相對。[例]要看北極星，得從北方星空裡去找。
沙子,細小的石粒。[例]一群小朋友圍在工地旁的沙堆上玩沙子。
著急,焦慮、急躁。[例]她不小心將重要的文件遺失了，因而著急得不得了。
衣服,泛指可以穿著的各種衣裳、服裝。[例]母親將家裡的一些舊衣服捐給孤兒院。
翅膀,鳥類及昆蟲的翼。[例]企鵝的翅膀雖然無法飛行，但在水中卻有划水的功能。
充滿,1.填滿、裝滿。[例]小朋友可愛的表演，使得歡樂的氣氛充滿了整個會場。
思念,懷想、想念。[例]離家愈遠，對故鄉的思念也就愈深。
牠們,兩個以上的動物合稱。[例]動物園有許多頑皮可愛的猴子，小朋友都很喜歡牠們。
圓鼓鼓,渾圓而凸起的樣子。[例]河豚一受到驚擾，身體就會脹得圓鼓鼓的。
熱絡,感情深厚，往來頻繁。[例]他們兩家同時搬到這個社區，彼此來往很熱絡。
聊天,閒談。[例]晚飯後，我們全家人常聚在客廳聊天，分享生活趣事。
欣喜,歡欣喜悅。[例]他獲知妻子順利生產，母女平安，欣喜不已。
發現,1.找到別人從未見過的事物、地方或道理。[例]哥倫布發現新大陸。
居然,竟然，表示出乎意料。[例]沒想到他居然會說出這種話來！
冒煙,1.煙向上升起。[例]那幢房子在冒煙，好像失火了。
笑咪咪,微笑時眼皮微微靠攏的樣子。形容笑容滿面。[例]她總是笑咪咪的向人打招呼。
幸福,指生活、境遇圓滿愉快。[例]追求幸福是人類共同的願望。
團聚,團圓聚集。[例]現代人工作繁忙，只有在春節時才能全家團聚，共享短暫的天倫之樂。
愉快,欣悅、快樂。[例]保持愉快的心情來工作，往往可以事半功倍。
火鍋,1.一種鍋與爐合為一體的烹飪器具。[例]媽媽上街買了一個新火鍋，打算除夕圍爐時拿來使用。
美妙,美好巧妙。[例]她有一副美妙的歌喉。
顏色,1.色彩。[例]美麗的彩虹一共有七種顏色。
池塘,蓄水的凹坑。[例]池塘裡有許多魚兒游來游去。
田鼠,動物名：(1)哺乳綱囓齒目鼠科。體長約十公分，毛粗短，背面及頭頂蒼褐色。體側灰褐色，腹部灰白，耳殼橢圓。喜食米穀與蔬菜之根，為害農作物之生長。(2)鼴鼠的別名。參見「鼴鼠」條。明．李時珍《本草綱目．卷五〇．獸部．鼴鼠》：「釋名：田鼠。時珍曰：『田鼠偃行地中，能壅土成坌，故得諸名。』」
地洞,在地面下挖成的洞。[例]生活在地洞中的動物，通常有較敏銳的聽覺。
蜜蜂,泛指膜翅目蜜蜂科昆蟲。頭部有兩個大複眼和三個單眼，視力強，有一對能感受氣味的觸角。有刺，會螫人。社會性昆蟲，居於蜂巢中，成員分工蜂、蜂王和雄蜂三級。[例]蜂蜜是蜜蜂採集花蜜所釀製而成的。
蜂窩,蜜蜂的窩巢。[例]他不小心觸動蜂窩而引來大群蜜蜂螫咬。
粉紅,用白色和紅色調和成的顏色。[例]她今天一身粉紅系列的打扮，看起來非常俏麗。
桃花,1.桃樹所開的花。[例]滿山的桃花，好像在熱烈歡迎春天的來臨。
高興,1.開心、愉快、興奮。[例]這次旅行，大家都玩得很高興。
燕子,→燕
到處,處處、各處。[例]選舉期間到處都貼滿了競選標語。
